timestamp,device,voltage,current,power_watts,consumption_kwh
2025-01-01 01:43:00,Heater,146.38,14.45,2115.19,2.12
2025-01-01 01:44:00,Television,130.27,11.83,1541.09,1.54
2025-01-01 01:45:00,Air Conditioner,198.41,9.74,1932.51,1.93
2025-01-01 01:46:00,Fan,123.6,6.53,807.11,0.81
2025-01-01 01:47:00,Fan,135.89,25.39,3450.25,3.45
2025-01-01 01:48:00,Air Conditioner,226.32,13.91,3148.11,3.15
2025-01-01 01:49:00,Heater,222.16,11.73,2605.94,2.61
2025-01-01 01:50:00,Refrigerator,229.1,11.99,2746.91,2.75
2025-01-01 01:51:00,Heater,110.56,6.54,723.06,0.72
2025-01-01 01:52:00,Washing Machina,169.99,7.12,1210.33,1.21
2025-01-01 01:53:00,Heater,232.89,13.78,3209.22,3.21
2025-01-01 01:54:00,Heater,134.31,5.96,800.49,0.8
2025-01-01 01:55:00,Fan,162.86,23.88,3889.1,3.89
2025-01-01 01:56:00,Computer,227.07,26.55,6028.71,6.03
2025-01-01 01:57:00,Refrigerator,142.84,23.81,3401.02,3.4
2025-01-01 01:58:00,Heater,116.88,4.18,488.56,0.49
2025-01-01 01:59:00,Fan,229.24,5.9,1352.52,1.35
2025-01-01 02:00:00,Television,167.25,14.57,2436.83,2.44
2025-01-01 02:01:00,Air Conditioner,117.2,13.8,1617.36,1.62
2025-01-01 02:02:00,Washing Machina,161.56,11.23,1814.32,1.81
2025-01-01 02:03:00,Heater,164.84,19.78,3260.54,3.26
2025-01-01 02:04:00,Fan,120.77,14.09,1701.65,1.7
2025-01-01 02:05:00,Washing Machina,154.06,1.44,221.85,0.22
2025-01-01 02:06:00,Air Conditioner,200.05,13.02,2604.65,2.6
2025-01-01 02:07:00,Refrigerator,150.08,3.06,459.24,0.46
2025-01-01 02:08:00,Air Conditioner,229.59,20.83,4782.36,4.78
2025-01-01 02:09:00,Computer,134.12,21.45,2876.87,2.88
2025-01-01 02:10:00,Television,210.79,18.1,3815.3,3.82
2025-01-01 02:11:00,Fan,201.58,12.85,2590.3,2.59
2025-01-01 02:12:00,Air Conditioner,184.37,28.94,5335.67,5.34
2025-01-01 02:13:00,Air Conditioner,188.12,2.23,419.51,0.42
2025-01-01 02:14:00,Washing Machina,165.85,14.45,2396.53,2.4
2025-01-01 02:15:00,Heater,132.28,28.72,3799.08,3.8
2025-01-01 02:16:00,Fan,234.37,0.79,185.15,0.19
2025-01-01 02:17:00,Microwave,235.74,15.14,3569.1,3.57
2025-01-01 02:18:00,Microwave,185.04,24.91,4609.35,4.61
2025-01-01 02:19:00,Computer,153.03,8.59,1314.53,1.31
2025-01-01 02:20:00,Fan,180.51,22.15,3998.3,4.0
2025-01-01 02:21:00,Television,178.47,26.61,4749.09,4.75
2025-01-01 02:22:00,Heater,190.43,4.71,896.93,0.9
2025-01-01 02:23:00,Television,174.99,27.13,4747.48,4.75
2025-01-01 02:24:00,Computer,234.69,26.3,6172.35,6.17
2025-01-01 02:25:00,Computer,143.42,6.44,923.62,0.92
2025-01-01 02:26:00,Heater,234.86,4.05,951.18,0.95
2025-01-01 02:27:00,Washing Machina,207.03,3.65,755.66,0.76
2025-01-01 02:28:00,Microwave,201.87,10.51,2121.65,2.12
2025-01-01 02:29:00,Fan,142.0,22.83,3241.86,3.24
2025-01-01 02:30:00,Washing Machina,114.85,29.51,3389.22,3.39
2025-01-01 02:31:00,Microwave,229.14,1.18,270.39,0.27
2025-01-01 02:32:00,Washing Machina,148.27,15.11,2240.36,2.24
2025-01-01 02:33:00,Microwave,163.13,4.7,766.71,0.77
2025-01-01 02:34:00,Microwave,192.98,13.26,2558.91,2.56
2025-01-01 02:35:00,Air Conditioner,173.3,18.04,3126.33,3.13
2025-01-01 02:36:00,Refrigerator,144.01,23.82,3430.32,3.43
2025-01-01 02:37:00,Refrigerator,203.38,25.42,5169.92,5.17
2025-01-01 02:38:00,Refrigerator,193.98,3.16,612.98,0.61
2025-01-01 02:39:00,Microwave,201.7,5.95,1200.12,1.2
2025-01-01 02:40:00,Air Conditioner,176.62,2.43,429.19,0.43
2025-01-01 02:41:00,Fan,173.65,3.3,573.04,0.57
2025-01-01 02:42:00,Refrigerator,152.62,9.68,1477.36,1.48
2025-01-01 02:43:00,Television,213.15,20.4,4348.26,4.35
2025-01-01 02:44:00,Computer,208.08,18.66,3882.77,3.88
2025-01-01 02:45:00,Television,151.16,22.66,3425.29,3.43
2025-01-01 02:46:00,Computer,226.23,14.9,3370.83,3.37
2025-01-01 02:47:00,Heater,157.6,24.5,3861.2,3.86
2025-01-01 02:48:00,Heater,121.5,3.6,437.4,0.44
2025-01-01 02:49:00,Television,208.37,28.51,5940.63,5.94
2025-01-01 02:50:00,Fan,161.01,14.34,2308.88,2.31
2025-01-01 02:51:00,Microwave,237.74,14.37,3416.32,3.42
2025-01-01 02:52:00,Fan,163.48,13.8,2256.02,2.26
2025-01-01 02:53:00,Refrigerator,182.98,27.41,5015.48,5.02
2025-01-01 02:54:00,Heater,127.9,29.5,3773.05,3.77
2025-01-01 02:55:00,Microwave,110.77,20.85,2309.55,2.31
2025-01-01 02:56:00,Washing Machina,207.62,26.9,5584.98,5.58
2025-01-01 02:57:00,Heater,215.01,20.13,4328.15,4.33
2025-01-01 02:58:00,Washing Machina,112.66,23.79,2680.18,2.68
2025-01-01 02:59:00,Fan,212.18,2.18,462.55,0.46
2025-01-01 03:00:00,Computer,122.43,13.79,1688.31,1.69
2025-01-01 03:01:00,Television,173.15,24.86,4304.51,4.3
2025-01-01 03:02:00,Air Conditioner,150.75,15.93,2401.45,2.4
2025-01-01 03:03:00,Microwave,,6.49,1135.69,1.14
2025-01-01 03:04:00,Television,203.75,22.59,4602.71,4.6
2025-01-01 03:05:00,Refrigerator,222.02,16.51,3665.55,3.67
2025-01-01 03:06:00,Air Conditioner,211.29,22.21,4692.75,4.69
2025-01-01 03:07:00,Fan,193.98,0.97,188.16,0.19
2025-01-01 03:08:00,Washing Machina,135.59,15.87,2151.81,2.15
2025-01-01 03:09:00,Heater,174.85,15.52,2713.67,2.71
2025-01-01 03:10:00,Television,166.32,25.71,4276.09,4.28
2025-01-01 03:11:00,Television,112.32,18.69,2099.26,2.1
2025-01-01 03:12:00,Fan,188.32,24.71,4653.39,4.65
2025-01-01 03:13:00,Washing Machina,228.74,3.65,834.9,0.83
2025-01-01 03:14:00,Air Conditioner,175.79,28.54,5017.05,5.02
2025-01-01 03:15:00,Air Conditioner,142.62,13.76,1962.45,1.96
2025-01-01 03:16:00,Computer,160.06,2.39,382.54,0.38
2025-01-01 03:17:00,Refrigerator,128.91,13.78,1776.38,1.78
2025-01-01 03:18:00,Refrigerator,234.31,25.15,5892.9,5.89
2025-01-01 03:19:00,Washing Machina,142.6,20.26,2889.08,2.89
2025-01-01 03:20:00,Air Conditioner,140.33,27.22,3819.78,3.82
2025-01-01 03:21:00,Air Conditioner,235.77,1.39,327.72,0.33
2025-01-01 03:22:00,Washing Machina,156.64,18.87,2955.8,2.96
2025-01-01 03:23:00,Air Conditioner,234.67,14.53,3409.76,3.41
2025-01-01 03:24:00,Microwave,126.46,25.23,3190.59,3.19
2025-01-01 03:25:00,Refrigerator,121.39,28.22,3425.63,3.43
2025-01-01 03:26:00,Television,176.92,6.25,1105.75,1.11
2025-01-01 03:27:00,Heater,141.16,21.4,3020.82,3.02
2025-01-01 03:28:00,Television,212.99,24.29,5173.53,5.17
2025-01-01 03:29:00,Heater,187.67,15.97,2997.09,3.0
2025-01-01 03:30:00,Washing Machina,166.63,11.12,1852.93,1.85
2025-01-01 03:31:00,Refrigerator,116.28,16.2,1883.74,1.88
2025-01-01 03:32:00,Microwave,163.79,12.61,2065.39,2.07
2025-01-01 03:33:00,Computer,144.0,26.13,3762.72,3.76
2025-01-01 03:34:00,Heater,117.19,20.83,2441.07,2.44
2025-01-01 03:35:00,Refrigerator,119.29,2.68,319.7,0.32
2025-01-01 03:36:00,Television,112.93,9.1,1027.66,1.03
2025-01-01 03:37:00,Refrigerator,208.33,12.85,2677.04,2.68
2025-01-01 03:38:00,Heater,137.34,17.22,2364.99,2.36
2025-01-01 03:39:00,Microwave,232.84,10.22,2379.62,2.38
2025-01-01 03:40:00,Fan,219.39,8.91,1954.76,1.95
2025-01-01 03:41:00,Fan,119.54,3.81,455.45,0.46
2025-01-01 03:42:00,Heater,229.85,24.08,5534.79,5.53
2025-01-01 03:43:00,Air Conditioner,230.87,14.42,3329.15,3.33
2025-01-01 03:44:00,Computer,188.97,15.22,2876.12,2.88
2025-01-01 03:45:00,Computer,238.31,4.43,1055.71,1.06
2025-01-01 03:46:00,Refrigerator,168.96,12.75,2154.24,2.15
2025-01-01 03:47:00,Computer,123.84,28.39,3515.82,3.52
2025-01-01 03:48:00,Fan,213.38,3.66,780.97,0.78
2025-01-01 03:49:00,Television,204.83,27.3,5591.86,5.59
2025-01-01 03:50:00,Microwave,129.08,1.39,179.42,0.18
2025-01-01 03:51:00,Microwave,117.57,2.06,242.19,0.24
2025-01-01 03:52:00,Refrigerator,158.13,19.4,3067.72,3.07
2025-01-01 03:53:00,Computer,126.55,9.73,1231.33,1.23
2025-01-01 03:54:00,Computer,168.28,10.85,1825.84,1.83
2025-01-01 03:55:00,Fan,230.2,4.4,1012.88,1.01
2025-01-01 03:56:00,Fan,116.1,9.44,1095.98,1.1
2025-01-01 03:57:00,Refrigerator,147.87,13.78,2037.65,2.04
2025-01-01 03:58:00,Refrigerator,110.84,9.16,1015.29,1.02
2025-01-01 03:59:00,Computer,199.74,12.46,2488.76,2.49
2025-01-01 04:00:00,Television,131.1,11.73,1537.8,1.54
2025-01-01 04:01:00,Refrigerator,139.81,20.11,2811.58,2.81
2025-01-01 04:02:00,Computer,177.16,28.56,5059.69,5.06
2025-01-01 04:03:00,Computer,235.37,2.29,539.0,0.54
2025-01-01 04:04:00,Microwave,114.79,10.85,1245.47,1.25
2025-01-01 04:05:00,Air Conditioner,203.56,3.41,694.14,0.69
2025-01-01 04:06:00,Heater,177.86,29.36,5221.97,5.22
2025-01-01 04:07:00,Fan,141.55,10.82,1531.57,1.53
2025-01-01 04:08:00,Computer,113.42,11.08,1256.69,1.26
2025-01-01 04:09:00,Heater,186.88,16.06,3001.29,3.0
2025-01-01 04:10:00,Refrigerator,136.61,22.97,3137.93,3.14
2025-01-01 04:11:00,Heater,126.02,4.59,578.43,0.58
2025-01-01 04:12:00,Heater,228.29,4.33,988.5,0.99
2025-01-01 04:13:00,Refrigerator,157.24,3.81,599.08,0.6
2025-01-01 04:14:00,Heater,151.16,29.81,4506.08,4.51
2025-01-01 04:15:00,Computer,115.46,18.96,2189.12,2.19
2025-01-01 04:16:00,Microwave,216.48,27.42,5935.88,5.94
2025-01-01 04:17:00,Microwave,219.79,6.67,1466.0,1.47
2025-01-01 04:18:00,Washing Machina,121.72,9.19,1118.61,1.12
2025-01-01 04:19:00,Microwave,118.81,24.72,2936.98,2.94
2025-01-01 04:20:00,Microwave,181.99,7.57,1377.66,1.38
2025-01-01 04:21:00,Air Conditioner,233.04,23.06,5373.9,5.37
2025-01-01 04:22:00,Washing Machina,130.68,4.61,602.43,0.6
2025-01-01 04:23:00,Computer,230.32,2.99,688.66,0.69
2025-01-01 04:24:00,Television,120.91,21.41,2588.68,2.59
2025-01-01 04:25:00,Fan,124.59,19.79,2465.64,2.47
2025-01-01 04:26:00,Heater,178.35,17.69,3155.01,3.16
2025-01-01 04:27:00,Air Conditioner,130.72,2.16,282.36,0.28
2025-01-01 04:28:00,Washing Machina,132.56,5.79,767.52,0.77
2025-01-01 04:29:00,Computer,176.34,3.69,650.69,0.65
2025-01-01 04:30:00,Fan,211.55,1.39,294.05,0.29
2025-01-01 04:31:00,Fan,221.24,3.54,783.19,0.78
2025-01-01 04:32:00,Air Conditioner,211.43,21.6,4566.89,4.57
2025-01-01 04:33:00,Fan,156.59,24.62,3855.25,3.86
2025-01-01 04:34:00,Microwave,132.08,13.1,1730.25,1.73
2025-01-01 04:35:00,Fan,145.34,11.24,1633.62,1.63
2025-01-01 04:36:00,Computer,226.85,1.21,274.49,0.27
2025-01-01 04:37:00,Computer,127.17,22.6,2874.04,2.87
2025-01-01 04:38:00,Heater,121.52,10.64,1292.97,1.29
2025-01-01 04:39:00,Air Conditioner,192.61,28.67,5522.13,5.52
2025-01-01 04:40:00,Washing Machina,113.89,27.03,3078.45,3.08
2025-01-01 04:41:00,Air Conditioner,206.85,6.22,1286.61,1.29
2025-01-01 04:42:00,Television,185.23,21.98,4071.36,4.07
2025-01-01 04:43:00,Computer,206.3,20.25,4177.57,4.18
2025-01-01 04:44:00,Television,119.35,25.06,2990.91,2.99
2025-01-01 04:45:00,Television,173.08,1.33,230.2,0.23
2025-01-01 04:46:00,Television,170.94,11.44,1955.55,1.96
2025-01-01 04:47:00,Washing Machina,215.14,14.73,3169.01,3.17
2025-01-01 04:48:00,Computer,195.59,7.83,1531.47,1.53
2025-01-01 04:49:00,Television,205.38,0.54,110.91,0.11
2025-01-01 04:50:00,Fan,127.09,13.04,1657.25,1.66
2025-01-01 04:51:00,Fan,218.32,21.8,4759.38,4.76
2025-01-01 04:52:00,Washing Machina,232.54,26.24,6101.85,6.1
2025-01-01 04:53:00,Air Conditioner,173.84,25.18,4377.29,4.38
2025-01-01 04:54:00,Microwave,112.68,25.47,2869.96,2.87
2025-01-01 04:55:00,Heater,130.14,0.54,70.28,0.07
2025-01-01 04:56:00,Air Conditioner,157.27,24.9,3916.02,3.92
2025-01-01 04:57:00,Air Conditioner,200.52,26.38,5289.72,5.29
2025-01-01 04:58:00,Fan,156.37,18.79,2938.19,2.94
2025-01-01 04:59:00,Fan,210.14,26.27,5520.38,5.52
2025-01-01 05:00:00,Microwave,137.35,17.68,2428.35,2.43
2025-01-01 05:01:00,Television,200.54,8.14,1632.4,1.63
2025-01-01 05:02:00,Air Conditioner,112.8,8.3,936.24,0.94
2025-01-01 05:03:00,Air Conditioner,154.94,4.25,658.5,0.66
2025-01-01 05:04:00,Heater,220.09,8.46,1861.96,1.86
2025-01-01 05:05:00,Refrigerator,194.84,22.76,4434.56,4.43
2025-01-01 05:06:00,Heater,149.76,24.31,3640.67,3.64
2025-01-01 05:07:00,Computer,173.99,19.27,3352.79,3.35
2025-01-01 05:08:00,Microwave,124.53,13.85,1724.74,1.72
2025-01-01 05:09:00,Refrigerator,114.01,17.9,2040.78,2.04
2025-01-01 05:10:00,Washing Machina,192.72,14.14,2725.06,2.73
2025-01-01 05:11:00,Washing Machina,164.09,8.38,1375.07,1.38
2025-01-01 05:12:00,Computer,221.48,11.34,2511.58,2.51
2025-01-01 05:13:00,Heater,189.86,1.71,324.66,0.32
2025-01-01 05:14:00,Television,228.77,25.91,5927.43,5.93
2025-01-01 05:15:00,Refrigerator,218.58,24.11,5269.96,5.27
2025-01-01 05:16:00,Fan,222.63,28.88,6429.55,6.43
2025-01-01 05:17:00,Microwave,156.55,12.11,1895.82,1.9
2025-01-01 05:18:00,Computer,239.28,8.94,2139.16,2.14
2025-01-01 05:19:00,Fan,174.31,16.3,2841.25,2.84
2025-01-01 05:20:00,Refrigerator,137.09,20.95,2872.04,2.87
2025-01-01 05:21:00,Air Conditioner,128.46,12.98,1667.41,1.67
2025-01-01 05:22:00,Computer,118.9,28.58,3398.16,3.4
2025-01-01 05:23:00,Air Conditioner,159.05,11.35,1805.22,1.81
2025-01-01 05:24:00,Refrigerator,223.97,16.73,3747.02,3.75
2025-01-01 05:25:00,Microwave,129.07,14.75,1903.78,1.9
2025-01-01 05:26:00,Computer,234.19,19.64,4599.49,4.6
2025-01-01 05:27:00,Heater,141.96,1.23,174.61,0.17
2025-01-01 05:28:00,Computer,152.95,29.39,4495.2,4.5
2025-01-01 05:29:00,Microwave,178.64,6.08,1086.13,1.09
2025-01-01 05:30:00,Refrigerator,170.18,12.74,2168.09,2.17
2025-01-01 05:31:00,Heater,166.48,20.95,3487.76,3.49
2025-01-01 05:32:00,Computer,203.22,6.11,1241.67,1.24
2025-01-01 05:33:00,Microwave,213.22,4.26,908.32,0.91
2025-01-01 05:34:00,Microwave,127.37,1.22,155.39,0.16
2025-01-01 05:35:00,Heater,110.19,13.61,1499.69,1.5
2025-01-01 05:36:00,Air Conditioner,207.25,16.84,3490.09,3.49
2025-01-01 05:37:00,Refrigerator,127.81,0.64,81.8,0.08
2025-01-01 05:38:00,Heater,121.03,0.6,72.62,0.07
2025-01-01 05:39:00,Air Conditioner,185.54,6.32,1172.61,1.17
2025-01-01 05:40:00,Heater,166.26,11.24,1868.76,1.87
2025-01-01 05:41:00,Heater,235.7,13.09,3085.31,3.09
2025-01-01 05:42:00,Microwave,175.74,15.73,2764.39,2.76
2025-01-01 05:43:00,Fan,143.92,13.48,1940.04,1.94
2025-01-01 05:44:00,Fan,149.95,14.86,2228.26,2.23
2025-01-01 05:45:00,Heater,166.25,6.23,1035.74,1.04
2025-01-01 05:46:00,Computer,179.51,7.86,1410.95,1.41
2025-01-01 05:47:00,Microwave,205.16,19.16,3930.87,3.93
2025-01-01 05:48:00,Fan,238.31,23.4,5576.45,5.58
2025-01-01 05:49:00,Television,200.86,14.72,2956.66,2.96
2025-01-01 05:50:00,Microwave,197.5,14.24,2812.4,2.81
2025-01-01 05:51:00,Refrigerator,232.94,11.44,2664.83,2.66
2025-01-01 05:52:00,Washing Machina,164.84,13.86,2284.68,2.28
2025-01-01 05:53:00,Computer,183.86,3.25,597.55,0.6
2025-01-01 05:54:00,Heater,232.61,6.65,1546.86,1.55
2025-01-01 05:55:00,Television,132.18,7.09,937.16,0.94
2025-01-01 05:56:00,Refrigerator,230.57,20.61,4752.05,4.75
2025-01-01 05:57:00,Refrigerator,214.5,6.77,1452.16,1.45
2025-01-01 05:58:00,Computer,224.44,27.13,6089.06,6.09
2025-01-01 05:59:00,Heater,214.81,8.04,1727.07,1.73
2025-01-01 06:00:00,Heater,167.49,18.51,3100.24,3.1
2025-01-01 06:01:00,Air Conditioner,119.93,8.53,1023.0,1.02
2025-01-01 06:02:00,Washing Machina,182.51,18.2,3321.68,3.32
2025-01-01 06:03:00,Computer,211.23,4.43,935.75,0.94
2025-01-01 06:04:00,Microwave,224.67,18.79,4221.55,4.22
2025-01-01 06:05:00,Air Conditioner,212.68,1.47,312.64,0.31
2025-01-01 06:06:00,Fan,189.3,18.64,3528.55,3.53
2025-01-01 06:07:00,Air Conditioner,236.42,26.77,6328.96,6.33
2025-01-01 06:08:00,Heater,175.82,13.92,2447.41,2.45
2025-01-01 06:09:00,Fan,117.2,28.05,3287.46,3.29
2025-01-01 06:10:00,Microwave,114.16,5.47,624.46,0.62
2025-01-01 06:11:00,Fan,222.75,8.61,1917.88,1.92
2025-01-01 06:12:00,Fan,131.16,19.71,2585.16,2.59
2025-01-01 06:13:00,Computer,212.32,1.55,329.1,0.33
2025-01-01 06:14:00,Air Conditioner,165.06,28.3,4671.2,4.67
2025-01-01 06:15:00,Fan,222.66,12.46,2774.34,2.77
2025-01-01 06:16:00,Air Conditioner,219.17,6.92,1516.66,1.52
2025-01-01 06:17:00,Refrigerator,113.3,5.6,634.48,0.63
2025-01-01 06:18:00,Air Conditioner,126.23,12.58,1587.97,1.59
2025-01-01 06:19:00,Television,123.96,1.9,235.52,0.24
2025-01-01 06:20:00,Microwave,214.53,17.87,3833.65,3.83
2025-01-01 06:21:00,Air Conditioner,175.58,13.98,2454.61,2.45
2025-01-01 06:22:00,Heater,151.23,0.67,101.32,0.1
2025-01-01 06:23:00,Washing Machina,119.57,5.66,676.77,0.68
2025-01-01 06:24:00,Computer,218.46,14.26,3115.24,3.12
2025-01-01 06:25:00,Washing Machina,152.67,13.6,2076.31,2.08
2025-01-01 06:26:00,Washing Machina,123.77,0.66,81.69,0.08
2025-01-01 06:27:00,Microwave,211.38,4.6,972.35,0.97
2025-01-01 06:28:00,Microwave,239.03,6.42,1534.57,1.53
2025-01-01 06:29:00,Computer,147.36,17.31,2550.8,2.55
2025-01-01 06:30:00,Washing Machina,211.98,16.28,3451.03,3.45
2025-01-01 06:31:00,Refrigerator,130.53,19.27,2515.31,2.52
2025-01-01 06:32:00,Fan,186.35,29.57,5510.37,5.51
2025-01-01 06:33:00,Refrigerator,161.74,1.62,262.02,0.26
2025-01-01 06:34:00,Washing Machina,140.36,28.42,3989.03,3.99
2025-01-01 06:35:00,Television,131.48,2.43,319.5,0.32
2025-01-01 06:36:00,Television,191.7,14.97,2869.75,2.87
2025-01-01 06:37:00,Heater,131.38,20.4,2680.15,2.68
